City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,bilibino,68.0546,166.4372,-22.71,100,98,1.03,RU,2024-11-11 02:55:53
143,al ghayzah,16.2079,52.176,24.67,66,12,2.08,YE,2024-11-11 02:58:19
144,kone,-21.0595,164.8658,32.1,39,1,3.58,NC,2024-11-11 02:58:20
145,igarka,67.4667,86.5833,-14.55,91,99,4.22,RU,2024-11-11 02:57:18
146,south hedland,-20.4089,118.5983,37.96,37,12,6.69,AU,2024-11-11 02:58:22
147,grytviken,-54.2811,-36.5092,-1.17,88,100,1.39,GS,2024-11-11 02:57:20
148,bethel,41.3712,-73.414,12.79,78,100,1.54,US,2024-11-11 02:56:17
149,albany,42.6001,-73.9662,7.02,75,100,0.45,US,2024-11-11 02:56:04
150,puerto natales,-51.7236,-72.4875,4.47,94,92,2.59,CL,2024-11-11 02:57:11
151,puerto natales,-51.7236,-72.4875,4.47,94,92,2.59,CL,2024-11-11 02:57:11
152,encruzilhada do sul,-30.5439,-52.5219,14.49,88,0,1.54,BR,2024-11-11 02:58:29
153,waitangi,-43.9535,-176.5597,16.01,88,98,2.68,NZ,2024-11-11 02:55:47
154,west island,-12.1568,96.8225,28.99,70,20,6.69,CC,2024-11-11 02:57:38
155,bloemfontein,-29.1211,26.214,12.71,100,0,1.54,ZA,2024-11-11 02:58:32
156,klyuchi,52.2667,79.1667,0.17,98,100,6.58,RU,2024-11-11 02:58:33
157,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:56:46
158,port blair,11.6667,92.75,29.02,79,40,2.57,IN,2024-11-11 02:58:35
159,punta arenas,-53.15,-70.9167,6.06,65,20,3.09,CL,2024-11-11 02:55:19
160,yellowknife,62.456,-114.3525,-12.71,85,75,2.06,CA,2024-11-11 02:55:57
161,invercargill,-46.4,168.35,13.9,63,50,6.71,NZ,2024-11-11 02:55:28
162,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
163,melykut,46.2151,19.381,3.05,68,1,1.63,HU,2024-11-11 02:58:43
164,leava,-14.3,-178.1667,27.52,80,95,4.88,WF,2024-11-11 02:58:44
165,kone,-21.0595,164.8658,32.1,39,1,3.58,NC,2024-11-11 02:58:20
166,waitangi,-43.9535,-176.5597,16.01,88,98,2.68,NZ,2024-11-11 02:55:47
167,afaahiti,-17.75,-149.2833,24.49,86,90,7.98,PF,2024-11-11 02:58:48
168,grytviken,-54.2811,-36.5092,-1.17,88,100,1.39,GS,2024-11-11 02:57:20
169,blackmans bay,-43.0167,147.3167,18.62,54,5,1.34,AU,2024-11-11 02:58:50
170,nar'yan-mar,67.6713,53.087,-10.5,87,29,2.77,RU,2024-11-11 02:58:51
171,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,2024-11-11 02:54:09
172,longyearbyen,78.2186,15.6401,-1.09,93,100,1.54,SJ,2024-11-11 02:58:53
173,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
174,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
175,stanley,54.868,-1.6985,6.21,90,78,1.54,GB,2024-11-11 02:56:27
176,arraial do cabo,-22.9661,-42.0278,22.03,69,7,1.7,BR,2024-11-11 02:58:59
177,island harbour,50.724,-1.2758,13.32,73,89,0.45,GB,2024-11-11 02:59:00
178,labrador city,52.9463,-66.9114,-2.05,69,20,5.14,CA,2024-11-11 02:59:01
179,vilyuysk,63.7553,121.6247,-11.01,94,100,2.46,RU,2024-11-11 02:59:02
180,kolonia,50.9333,6.95,10.07,92,100,1.54,DE,2024-11-11 02:59:03
181,pingzhuang,42.0372,119.2889,9.72,49,100,5.28,CN,2024-11-11 02:59:04
182,tiksi,71.6872,128.8694,-18.25,100,93,0.83,RU,2024-11-11 02:59:06
183,bethel,41.3712,-73.414,12.79,78,100,1.54,US,2024-11-11 02:56:17
184,aykol,38.1751,77.2132,8.72,43,100,4.49,CN,2024-11-11 02:59:08
185,hamilton,39.1834,-84.5333,17.97,93,20,3.09,US,2024-11-11 02:54:13
186,bethel,41.3712,-73.414,12.79,78,100,1.54,US,2024-11-11 02:56:17
187,colonia,50.9333,6.95,10.07,92,100,1.54,DE,2024-11-11 02:54:47
188,zherdevka,51.8486,41.4606,-0.21,93,11,2.19,RU,2024-11-11 02:59:13
189,margaret river,-33.95,115.0667,18.44,58,24,5.75,AU,2024-11-11 02:59:14
190,soro,21.2881,86.6858,25.39,58,5,3.18,IN,2024-11-11 02:59:16
191,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
192,grytviken,-54.2811,-36.5092,-1.17,88,100,1.39,GS,2024-11-11 02:57:20
193,kaura namoda,12.5898,6.5779,19.37,26,8,4.06,NG,2024-11-11 02:59:19
194,sitka,57.0531,-135.33,8.94,57,40,7.72,US,2024-11-11 02:55:48
195,dolores,-36.3132,-57.6792,12.3,96,100,5.64,AR,2024-11-11 02:59:21
196,norrtalje,59.758,18.705,7.23,82,100,2.6,SE,2024-11-11 02:59:22
197,ust-nera,64.5667,143.2,-22.55,97,96,1.29,RU,2024-11-11 02:59:23
198,kailua-kona,19.6406,-155.9956,26.98,76,20,4.12,US,2024-11-11 02:59:24
199,waitangi,-43.9535,-176.5597,16.01,88,98,3.13,NZ,2024-11-11 02:59:26
200,iqaluit,63.7506,-68.5145,-4.15,68,100,3.6,CA,2024-11-11 02:59:27
201,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
202,utrik,11.2278,169.8474,28.53,76,3,8.76,MH,2024-11-11 02:55:35
203,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
204,ahiri,19.4,80.0167,23.57,65,14,1.0,IN,2024-11-11 02:59:32
205,udachny,66.4167,112.4,-14.47,94,100,2.04,RU,2024-11-11 02:59:33
206,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
207,lethem,3.3803,-59.7968,29.9,43,63,3.74,GY,2024-11-11 02:59:36
208,hawaiian paradise park,19.5933,-154.9731,25.73,84,75,3.6,US,2024-11-11 02:59:37
209,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
210,thompson,55.7435,-97.8558,-5.91,100,20,1.54,CA,2024-11-11 02:59:39
211,invercargill,-46.4,168.35,13.9,63,50,6.71,NZ,2024-11-11 02:55:28
212,kerikeri,-35.2268,173.9474,15.42,98,100,1.59,NZ,2024-11-11 02:59:41
213,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
214,iqaluit,63.7506,-68.5145,-4.15,68,100,3.6,CA,2024-11-11 02:59:27
215,orumiyeh,37.5527,45.0761,2.75,81,100,0.0,IR,2024-11-11 02:59:45
216,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
217,tolanaro,-25.0319,46.9987,24.04,88,0,5.14,MG,2024-11-11 02:59:47
218,tenenkou,14.4572,-4.9169,23.41,16,0,4.81,ML,2024-11-11 02:59:48
219,frontera,26.9333,-101.45,23.27,63,0,0.45,MX,2024-11-11 02:59:49
220,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
221,cam ranh,11.9214,109.1591,29.98,62,0,2.57,VN,2024-11-11 02:59:51
222,melekeok village,7.4957,134.6367,30.31,70,75,1.54,PW,2024-11-11 02:59:53
223,yellowknife,62.456,-114.3525,-12.71,85,75,2.06,CA,2024-11-11 02:55:57
224,mount gambier,-37.8333,140.7667,20.84,45,89,3.87,AU,2024-11-11 02:57:04
225,longyearbyen,78.2186,15.6401,-1.09,93,100,1.54,SJ,2024-11-11 02:58:53
226,siwa oasis,29.2041,25.5195,17.86,56,49,0.94,EG,2024-11-11 02:59:57
227,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
228,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
229,afaahiti,-17.75,-149.2833,24.49,86,90,7.98,PF,2024-11-11 03:00:00
230,kavaratti,10.5669,72.642,28.16,71,1,2.96,IN,2024-11-11 03:00:01
231,atafu village,-8.5421,-172.5159,27.7,75,9,3.73,TK,2024-11-11 03:00:03
232,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,2024-11-11 02:54:09
233,fort bragg,35.139,-79.006,17.91,87,100,2.06,US,2024-11-11 03:00:05
234,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
235,bilibino,68.0546,166.4372,-22.71,100,98,1.03,RU,2024-11-11 03:00:07
236,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
237,hamilton,39.1834,-84.5333,17.97,93,20,3.09,US,2024-11-11 02:54:13
238,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,2024-11-11 02:54:09
239,blackmans bay,-43.0167,147.3167,18.62,54,5,1.34,AU,2024-11-11 02:58:50
240,iqaluit,63.7506,-68.5145,-4.15,68,100,3.6,CA,2024-11-11 02:59:27
